total_calories,meal_title
177.188782,"sweet potato, olive oil and watermelon"
358.947601,"scrambled eggs, berries, pineapple, sweet potato and watermelon"
116.116005,pears
85.339996,"olives, onions, bell peppers and cherry tomatoes"
98.0,bean(seed)
252.435623,"olive oil, fish, wheat berry and arugula"
206.938995,"almonds, mandarin oranges and broccoli"
41.33675,green beans and olive oil
202.2966,"scrambled eggs, sweet potato and olive oil"
498.769836,"quinoa, couscous, pork and cauliflower"
124.815498,corn on the cob and olive oil
645.002014,"sausage, scrambled eggs and potatoes"
98.959999,"grapes, mandarin oranges and strawberries"
362.734009,scrambled eggs and sausage
220.200867,"beef, olive oil, walnuts and blue cheese"
98.382996,cheese pizza
411.388397,"salmon, chicken, tomatoes, olive oil and kimchi"
551.702026,"chicken, parmesan cheese, olives and avocado"
663.989319,"sausage, bacon, potatoes and berries"
420.928467,"scrambled eggs, olive oil and broccoli"
41.279999,corn
122.25,"ham, white rice and cauliflower"
145.313232,"wheat berry, olive oil, pecans and raisins"
330.734009,almonds and apple
484.329987,"nuts, white rice and tofu"
229.248688,"egg whites, yam, olive oil and sweet potato"
40.848213,brussels sprouts and olive oil
32.43,orange
837.147766,"scrambled eggs, turkey bacon and olive oil"
77.75,"ham, pineapple and mixed greens"
144.0,avocado
504.065033,"cheese pizza, beef and olive oil"
77.659996,olives and carrot
281.720001,chicken and orange
357.043518,"scrambled eggs, chicken apple sausage, yam, sweet potato and blackberries"
631.706665,"ground turkey, corn on the cob and cheese pizza"
210.350006,"cottage cheese, pineapple, watermelon and berries"
35.669998,lemon
1324.084961,"olive oil, chicken, vinaigrette and olives"
43.5,ham
244.343323,"salmon, pineapple, honeydew melons, cauliflower and brown rice"
100.570984,"olive oil, green beans, mixed greens and millet"
48.91,tofu
224.982895,bacon and brussels sprouts
47.093922,"olive oil, bulgur and mustard greens"
51.988998,corn on the cob
376.976868,"chicken apple sausage, yam, egg whites, chia seeds and sweet potato"
909.629578,"salmon, chicken, chicken salad and olive oil"
905.354492,"chicken, pork, pasta, pesto and olive oil"
165.182281,"chia seeds, greek yogurt, milk, strawberries and watermelon"
508.916168,"sausage, scrambled eggs and olive oil"
276.119995,scrambled eggs and sweet potato
203.66246,"olive oil, chickpeas and arugula"
403.786346,"chicken breast, white rice and broccoli"
370.521423,cheese pizza and chicken thighs
352.39502,"eggs, bagels, cream cheese and strawberries"
377.820007,"pepperoni pizza, cherry tomatoes and bell peppers"
240.425751,"salmon, brown rice, olive oil and green beans"
152.040009,scrambled eggs and egg whites
158.569992,"orange, ham and bell peppers"
234.606583,"egg whites, sweet potato, berries and olive oil"
422.399261,"pork, roasted potatoes, caesar salad and sugar"
200.12999,"bacon, potatoes and cantaloupe"
179.138412,"chicken, corn on the cob and olive oil"
390.254456,"bulgur, tofu, olive oil, carrot and broccoli"
103.048294,"sweet potato, cantaloupe and olive oil"
169.934235,"fish, olive oil and quinoa"
106.5,"beef, pineapple and bell peppers"
571.183777,"salmon, olive oil and brown rice"
349.449951,"pork, honeydew melons and olive oil"
307.040009,nuts and potato chips
211.92131,"pork, white rice and olive oil"
130.839996,chicken salad and olives
193.649994,"olives, broccoli and mixed greens"
471.643555,"bagels, sweet potato, chia seeds, egg whites and cream cheese"
229.490005,"bacon, roasted potatoes, berries and watermelon"
70.949997,chicken
122.001411,"fish, olive oil, brussels sprouts and wheat berry"
163.858185,"berries, olive oil, yam, sweet potato and broccoli"
570.884766,"scrambled eggs, bacon and green beans"
69.689995,"fish, carrot and mixed greens"
161.386429,"olive oil, olives, spinach (raw) and sun dried tomatoes"
59.099998,"brussels sprouts, cantaloupe and bell peppers"
35.639999,shrimp
610.365173,sausage and hash browns
551.546021,"hash browns, scrambled eggs and garden salad"
665.332642,"scrambled eggs, sausage and brussels sprouts"
188.860001,pizza
32.936092,carrot and olive oil
88.229996,"olives, cauliflower and lemon"
550.009949,"chicken, tuna and olives"
477.465118,chicken and olive oil
181.779984,"white rice, berries and kiwi"
96.480003,potato chips
239.190002,"white rice, potatoes, grapes and cherry tomatoes"
91.239998,sweet potato and egg whites
214.593262,"olive oil, quinoa, goat cheese, cauliflower and mixed greens"
256.551605,"cheese pizza, pineapple, squash, brussels sprouts and olive oil"
94.527,grapefruit juice
821.510193,"pork, olive oil, chickpeas, corn on the cob and chicken"
236.636597,"scrambled eggs, sweet potato and cantaloupe"
211.542679,"fish, country rice and olive oil"
479.248993,"chicken, olives and parmesan cheese"
530.393372,"tuna salad, avocado and carrot"
31.280001,cantaloupe
38.880001,honeydew melons
437.071686,"fish, olive oil and country rice"
412.873596,"pizza, fish, roasted potatoes, parsnips and olive oil"
42.389999,caesar salad and broccoli
69.12085,"olive oil, pumpkin seeds, arugula and mixed greens"
657.545837,"scrambled eggs, chicken apple sausage and olive oil"
451.753998,pepperoni pizza and brownies
282.693146,"cheese pizza, caesar salad and olive oil"
495.807739,"cheese pizza, beef and white rice"
945.670715,"chicken thighs, cheese, salmon, tortilla and caesar salad"
113.066399,olive oil and chickpeas
755.432922,beef and pizza
132.824387,"egg whites, sweet potato and olive oil"
213.109985,"bacon, banana and potato chips"
302.886444,"white rice, chicken thighs, olive oil and brussels sprouts"
90.68,white rice and pineapple
291.832458,"scrambled eggs, sweet potato, olive oil and brussels sprouts"
36.970001,"brussels sprouts, cherry tomatoes, bell peppers and carrot"
467.824677,pork and brown rice
576.704529,"tuna, salmon, olives and carrot"
346.819672,"scrambled eggs, granola, brussels sprouts and vinaigrette"
160.845459,"chicken thighs, caesar salad and quinoa"
434.58316,"beef, white rice and broccoli"
207.098907,"olive oil, tofu, pumpkin seeds and eggplant"
345.84198,grilled chicken and olives
214.544357,"beef, kale, green beans, olive oil and chard"
245.449509,chicken thighs and couscous
73.239998,"tomatoes, bell peppers and mixed greens"
354.044922,"scrambled eggs, olive oil, berries and broccoli"
313.741882,"roasted potatoes, olive oil, fish, green beans and eggplant"
95.610138,tofu and brussels sprouts
76.889999,"fish, tomatoes and broccoli"
316.827545,"salmon, mayonnaise, pineapple, olive oil and broccoli"
131.283218,"olive oil, figs and green beans"
50.669998,caesar salad and green beans
379.380005,"chicken, olives, mixed greens and broccoli"
493.589081,waffles and syrup
158.518127,"pizza, corn on the cob and eggplant"
269.530029,"scrambled eggs, potato chips and cauliflower"
249.067139,"roasted potatoes, olives and vinaigrette"
275.179993,"potato chips, nuts and corn"
604.616028,almonds and apple
30.25,cauliflower
195.761993,brownies
73.110001,"mandarin oranges, grapes and cereal"
101.240509,quinoa
36.209755,broccoli and olive oil
207.320007,"oatmeal, potatoes and bacon"
508.347748,"salmon, olive oil, bulgur, brussels sprouts and brown rice"
128.740005,oatmeal and corn
98.490021,"carrot, cauliflower and olive oil"
64.860001,grapes
295.369995,"scrambled eggs, sweet potato and broccoli"
504.400024,chicken and goat cheese
45.899998,fish
319.892303,"ground turkey, quinoa, cauliflower, carrot and olive oil"
319.428375,"scrambled eggs, sweet potato, brussels sprouts, strawberries and olive oil"
95.495369,"corn on the cob, olive oil and mixed greens"
40.02,noodles
646.768066,"scrambled eggs, hash browns, olive oil and bacon"
597.531189,"pork, white rice, croutons and olive oil"
86.411438,"olive oil, arugula and walnuts"
566.311646,"roast chicken, steak and tatsoi"
88.620003,"orange, corn and lemon"
154.720001,oatmeal and blackberries
406.998535,"bacon, sweet potato, egg whites, chicken apple sausage and olive oil"
172.604996,eggs
91.68,"sweet potato, berries and watermelon"
224.987503,pork and white rice
337.888184,"cheese pizza, fried rice, caesar salad and olive oil"
83.052505,"olive oil, spinach (raw), kale and parmesan cheese"
48.244003,olive oil and mixed greens
249.919525,"scrambled eggs, yam, olive oil and sweet potato"
487.873688,"bacon, sausage and turkey bacon"
182.169998,chicken and pineapple
50.740002,brussels sprouts
202.639999,bread and potatoes
193.61171,"cheese pizza, caesar salad, fish and olive oil"
62.19532,"granola, honeydew melons, cantaloupe, vinaigrette and mixed greens"
848.655762,"chicken thighs, cheese, salmon and tortilla"
51.993542,"granola, vinaigrette and mixed greens"
82.274002,bread
224.75,"bean(seed), white rice and shrimp"
208.970001,"chicken salad, chickpeas, artichokes and olives"
33.950001,broccoli
325.539917,cheese pizza and beef
76.48999,"white rice, tofu and lemon"
39.540001,pineapple and honeydew melons
307.868378,"white rice, salmon, beef, olive oil and pasta"
493.720886,"cheese pizza, tofu and olive oil"
171.980011,"potato chips, bacon and brussels sprouts"
71.93322,"olive oil, asparagus, eggplant, arugula and walnuts"
560.658997,"chicken, olives, parmesan cheese and caesar dressing"
126.700005,avocado and cauliflower
401.494019,"scrambled eggs, sausage and berries"
413.942017,"tuna, almonds, olives and carrot"
174.248901,"olive oil, pumpkin seeds, eggplant and arugula"
198.354996,eggs and berries
453.931671,"steak, olive oil and broccoli"
128.259995,"oatmeal, berries and lemon"
440.577881,"pork, olive oil and bulgur"
83.673561,"olive oil, figs, brussels sprouts and mustard greens"
302.954895,quinoa and caesar salad
50.792469,"vinaigrette, feta cheese, lettuce and olives"
58.599998,olives and onions
39.93,berries and cantaloupe
267.213989,"olive oil, chickpeas and broccoli"
204.970001,"corn on the cob, apple, cauliflower and cantaloupe"
394.440033,"fish, olive oil, corn and sour cream"
132.959991,"potatoes, grapes and broccoli"
340.073578,"beef, carrot and white rice"
696.363525,"scrambled eggs, berries, cantaloupe, broccoli and sweet potato"
96.049995,"banana, cantaloupe and broccoli"
218.769501,"pineapple, chicken apple sausage, egg whites, yam and sweet potato"
131.179993,noodles and ham
496.800018,scrambled eggs and turkey bacon
317.886017,sausage and olives
1013.337036,"almonds, sausage and deprecated"
60.040001,sweet potato
474.832947,pork and olive oil
421.686005,grilled chicken and mixed greens
108.392403,"olive oil, green beans and mushroom"
428.194458,chicken thighs and olive oil
492.281372,"quinoa, pork, couscous and caesar salad"
153.264771,olive oil and bell peppers
553.511841,"pizza, steak and olive oil"
258.003418,"chicken, beef, pasta, pesto and wheat berry"
678.096008,asparagus
319.779999,steak
385.007996,pepperoni
217.880005,tortilla and cheese
312.910004,"chicken, beef and brussels sprouts"
251.781372,"lentils, steak, olive oil and chickpeas"
83.449997,grapes and mandarin oranges
315.340027,"nuts, white rice and broccoli"
171.316879,"olive oil, scrambled eggs, pineapple, watermelon and honeydew melons"
296.990997,"chicken, olive oil and millet"
173.87999,"banana, apple and orange"
76.090004,"ham, orange and broccoli"
414.733154,pizza and fish
427.446991,"salmon, beef, pasta, pineapple and honeydew melons"
284.133148,beef and millet
330.456177,"cheese pizza, beef, parmesan cheese, roasted potatoes and olives"
67.643532,"cantaloupe, caesar salad and eggplant"
89.964882,sweet potato and olive oil
343.687988,"chicken breast, brown rice and broccoli"
418.952423,beef and olive oil
716.47937,"tuna salad, fried rice and avocado"
272.567291,beef and vinaigrette
224.931168,"chicken, roasted potatoes, white rice and olive oil"
88.080002,"olives, carrot, onions and cherry tomatoes"
544.310486,"beef, olive oil, figs and arugula"
122.332001,"tofu, white rice and asparagus"
365.269897,pepperoni pizza and chicken breast
401.797852,"bacon, egg whites and olive oil"
127.493019,"olive oil, bulgur, kale and mustard greens"
210.357925,"ground turkey, cauliflower, carrot and olive oil"
334.483002,almonds and mandarin oranges
291.309021,"waffles, tofu and egg whites"
273.112488,"sausage, granola and vinaigrette"
103.300003,olives and brussels sprouts
379.034851,scrambled eggs and granola
138.809998,"oatmeal, potatoes and brussels sprouts"
306.862701,"chicken, bok choy and olive oil"
217.152008,grilled chicken
55.630001,"cantaloupe, brussels sprouts and asparagus"
183.860001,"bacon, honeydew melons and cantaloupe"
468.202423,"steak, chicken thighs and olive oil"
671.082031,"beef, olive oil and carrot"
358.001984,"chicken thighs, cheese, tortilla, caesar salad and olive oil"
157.878067,"olive oil, almonds, spinach (raw) and blueberries"
183.993713,"salmon, olive oil, bok choy, cauliflower and brown rice"
231.529999,beef and orange
697.289185,salmon and brown rice
906.761047,"chicken, cookies, olive oil and chickpeas"
201.759506,"bacon, berries, sweet potato, pineapple and olive oil"
208.514832,"beef, roasted potatoes and cauliflower"
289.369995,bacon and berries
757.505066,"steak, cookies, chicken, roasted potatoes and cauliflower"
476.337524,"salmon, wheat berry, olive oil and brown rice"
230.61496,"chicken, olive oil and arugula"
265.622253,"chia seeds, sweet potato, egg whites, greek yogurt and milk"
196.180008,"fish, tortilla and bell peppers"
585.302002,pepperoni and sandwiches
177.659988,pepperoni pizza
320.100006,roasted potatoes and scrambled eggs
105.32,"tortilla, apple and mushroom"
787.776489,"chicken thighs, cheese and tortilla"
230.139999,"cheese, banana and cantaloupe"
525.461365,"quinoa, pork, couscous, caesar salad and olives"
178.178009,yam and berries
332.892792,cheese pizza and olive oil
35.720001,onions and cherry tomatoes
385.333984,"turkey bacon, berries, roasted potatoes and pineapple"
462.847504,"chicken thighs, fish, olive oil and quinoa"
305.065247,"chicken thighs, salmon, olive oil, bok choy and cauliflower"
121.259995,roasted potatoes
552.648376,"fish, olive oil and quinoa"
550.827515,"quinoa, pork, pizza and olive oil"
461.585266,"cheese pizza, beef and chicken"
48.309685,"olive oil, spinach (raw) and blueberries"
373.507965,"chicken thighs, cheese, tortilla and caesar salad"
555.303711,"scrambled eggs, fried rice, roasted potatoes, berries and pineapple"
184.735962,"pepperoni pizza, broccoli and squash"
38.0896,"olive oil, green beans and mixed greens"
357.809998,"scrambled eggs, bacon and berries"
184.080002,pizza and caesar salad
71.586662,"tatsoi, turnips, kale, olive oil and pepper"
411.151825,pork and chicken breast
104.510002,"tofu, oatmeal and kiwi"
108.939995,"cheese, avocado and tomatoes"
501.884644,"egg whites, scrambled eggs, sweet potato, grapes and watermelon"
230.333145,"cheese pizza, olive oil and figs"
330.034393,"salmon, olive oil, pineapple and brown rice"
511.614227,"chicken, beef and olive oil"
321.230652,"salmon, beef, olive oil and pasta"
312.955017,"almonds, pears, mandarin oranges and strawberries"
342.213593,"pork, sugar and white rice"
723.409973,"pork, pizza and olive oil"
57.940002,"avocado, mixed greens and mushroom"
91.800003,shrimp and orange
153.690002,"pears, mandarin oranges and broccoli"
203.570007,"scrambled eggs, bacon and broccoli"
767.469849,"pizza, walnuts, grilled chicken and olive oil"
236.23201,"pears, potatoes and mandarin oranges"
280.281769,"olive oil, figs and arugula"
58.5,berries and watermelon
246.868225,"chicken, carrot and olive oil"
230.001999,"almonds, apple and grapes"
96.990005,wheat berry and caesar salad
239.389984,"cheese, banana and orange"
518.801147,"pizza, olive oil, fish, roasted potatoes and parsnips"
901.810059,pizza and chicken
325.068085,"pepperoni pizza, chicken breast, pork and broccoli"
111.832207,"chicken breast, olive oil and squash"
347.594604,"corn on the cob, cheese pizza, olive oil and caesar salad"
89.652504,"olive oil, spinach (raw), mushroom, kale and parmesan cheese"
410.209686,"pork, pepperoni pizza and olives"
465.58374,"chicken, olive oil and white rice"
175.259506,"bacon, berries, sweet potato and olive oil"
143.059998,"scrambled eggs, oatmeal and tomatoes"
135.752014,tortilla and corn
159.310791,"salmon, olive oil, squash and brown rice"
59.959999,"pineapple, orange and lemon"
132.080002,"bean(seed), kiwi and lemon"
245.385895,"fish, olive oil, lentils, cauliflower and squash"
359.160004,"chicken, bell peppers, onions and carrot"
498.018677,"steak, wheat berry, fish, olive oil and ketchup"
573.546021,"chicken, parmesan cheese, olives, bell peppers and caesar dressing"
561.417053,"chicken, roasted potatoes, olive oil and carrot"
646.588074,"chicken thighs, cheese and tortilla"
605.871704,"cheese pizza, chicken, roasted potatoes and caesar salad"
418.819977,"chicken, cheese and avocado"
366.579254,"salmon, olive oil, broccoli, brown rice and brussels sprouts"
287.306,"fried rice, turkey bacon and egg whites"
178.278091,"chicken, olive oil, olives, kale and parmesan cheese"
122.274002,"wild rice, olive oil, green beans and mixed greens"
164.49585,"cheese pizza, caesar salad and vinaigrette"
537.113037,"pizza, cookies and cheese pizza"
261.856628,"fish, olive oil, green beans, bok choy and corn"
356.387299,"fish, roasted potatoes, olive oil and quinoa"
398.703369,"steak, olive oil and figs"
121.860001,"bean(seed), cauliflower and mushroom"
154.317169,"fish, olive oil and quinoa"
319.237152,"pizza, fish, olive oil and quinoa"
258.315979,steak and roasted potatoes
30.210915,"kale, parmesan cheese and caesar dressing"
462.933777,"pork, fish, honeydew melons, olive oil and country rice"
368.341003,steak and tatsoi
334.800018,bagels and cream cheese
237.369995,"banana, berries and pineapple"
199.845322,pepperoni pizza and steak
160.269501,"chicken apple sausage, egg whites, yam and sweet potato"
114.217117,"sweet potato, egg whites and brussels sprouts"
556.263916,"biscuits, bacon, yam and olive oil"
135.399673,"fish, olive oil, corn and sour cream"
589.501648,"chicken, olive oil, fried rice, brussels sprouts and millet"
445.798035,"bread, cheese and ham"
366.863678,"chicken thighs, quinoa and green beans"
144.255859,cheese pizza and vinaigrette
392.292175,"wild rice, olive oil, olives, figs and wheat berry"
74.919998,"bell peppers, onions and cherry tomatoes"
102.800003,"olives, orange and carrot"
370.755463,"ground turkey, cheese pizza and olive oil"
941.609985,pizza and chicken
140.106995,cheese pizza and caesar salad
155.820007,tortilla and carrot
815.647644,"pizza, chicken, olive oil and tofu"
200.725418,"cheese pizza, kale, parmesan cheese and broccoli"
740.762024,"pizza, chicken, tofu and olive oil"
491.235168,"pork, pepperoni pizza and caesar salad"
549.02002,"nuts, beef and potatoes"
661.441162,"pork, white rice, potatoes, croutons and olive oil"
243.584183,"cheese pizza, caesar salad and chicken"
263.749023,waffles and tofu
47.158001,yam
453.680054,beef and roasted potatoes
360.958008,"sausage, pineapple and orange"
307.944977,cheese pizza and olives
240.020004,"cheese pizza, caesar salad and pineapple"
512.015808,"cheese pizza, greek salad, roasted potatoes and chicken thighs"
625.236877,"chicken, olive oil and olives"
297.979553,"chicken thighs, cheese and tortilla"
95.150002,"tortilla, apple and cauliflower"
205.212921,"olive oil, quinoa, arugula and pecans"
244.298019,nuts and lemon
30.3396,olive oil and mixed greens
595.140015,"chicken breast, cheese pizza and tuna"
220.253998,"corn on the cob, apple, white rice and cauliflower"
519.542847,"fish, cheese pizza, cookies, olive oil and white beans"
352.315979,chicken breast and tuna
348.57666,"beef, olive oil and broccoli"
177.492004,"yam, bacon and berries"
379.96991,pepperoni pizza and chicken breast
124.089249,"olive oil, arugula and walnuts"
165.189987,"apple, fish and carrot"
327.420563,"chicken, olive oil, millet and brussels sprouts"
125.589996,potato chips and tofu
187.42543,"cheese pizza, kale and parmesan cheese"
184.990005,"chicken, avocado, mixed greens and onions"
210.039993,"cheese, shrimp and banana"
927.809998,pizza and chicken
450.764099,"cheese pizza, beef and quinoa"
757.957092,"salmon, brown rice and olive oil"
379.652008,"cheese pizza, tofu and cauliflower"
470.011047,"pork, caesar salad, sugar and carrot"
543.117004,"chicken, parmesan cheese, olives and bell peppers"
504.847656,"steak, olive oil and broccoli"
430.269989,"chicken, olives, bell peppers and carrot"
377.830017,"chicken, olives, avocado and broccoli"
537.809998,"scrambled eggs, roasted potatoes, bacon and pineapple"
250.919998,cookies
345.343719,chicken and olive oil
189.929993,"ham, potatoes and pineapple"
313.761383,"chicken, olive oil, broccoli and fish"
117.113998,"banana, bean(seed) and asparagus"
61.390003,"noodles, bell peppers and carrot"
279.328308,"egg whites, sweet potato, cantaloupe and olive oil"
407.132263,pork and mayonnaise
143.540421,"pork, olive oil and brown rice"
656.551575,"corn on the cob, pork, cheese pizza, tofu and caesar salad"
89.85463,"fish, broccoli, olive oil, quinoa and squash"
242.5,bagels
298.380798,"tofu, olive oil, brussels sprouts and bulgur"
124.670006,wheat berry
361.413239,"cheese pizza, chicken thighs, olive oil and carrot"
688.649963,bacon and chicken apple sausage
607.892395,"beef, roasted potatoes and olive oil"
88.059998,"tofu, tomatoes and cauliflower"
133.880005,"avocado, mixed greens and onions"
485.26001,"almonds, bacon, potatoes and deprecated"
245.733765,"scrambled eggs, brussels sprouts and strawberries"
950.395081,beef and pasta
406.473999,"chicken, olives, parmesan cheese and broccoli"
98.220001,"shrimp, brussels sprouts and lemon"
211.919006,waffles
178.880737,"chicken apple sausage, egg whites, grapes, broccoli and olive oil"
258.327576,"salmon, mayonnaise, olive oil, broccoli and lentils"
113.280006,honeydew melons and watermelon
361.765411,"ground turkey, cheese pizza and olive oil"
156.240005,broccoli and sweet potato
432.95401,almonds and grapes
67.844879,"olive oil, figs and mustard greens"
246.940002,"bacon, potatoes and honeydew melons"
222.278015,sausage and chilaquiles
88.552399,"olive oil, mushroom, almonds and spinach (raw)"
411.967804,"fish, pork, white rice, country rice and olive oil"
312.0,bagels and cream cheese
174.425323,"succotash, berries, granola, honeydew melons and cantaloupe"
190.584213,pepperoni pizza and pork
186.485947,"chicken apple sausage, yam, olive oil, raspberries and sweet potato"
168.580002,scrambled eggs and cantaloupe
600.540405,"bacon, steak, fish and olive oil"
498.620026,grilled chicken and carrot
343.350006,scrambled eggs and broccoli
234.234009,"avocado, bread and fish"
151.919998,scrambled eggs and cantaloupe
122.933998,"oatmeal, lemon and asparagus"
77.445999,"olives, pineapple and asparagus"
425.690033,"nuts, tofu and tomatoes"
482.983063,"chicken thighs, wheat berry, olive oil and broccoli"
348.484161,chicken thighs and olive oil
270.802002,"sausage, olives and orange"
270.70752,"cheese pizza, chicken thighs and carrot"
309.235992,"eggs, yam and berries"
623.007507,"steak, pizza and olive oil"
85.919998,"fish, potatoes and tomatoes"
754.353577,beef and millet
189.799988,"cheese, bean(seed) and tortilla"
638.714844,scrambled eggs and bacon
211.589996,"corn on the cob, apple and cherry tomatoes"
303.099365,"steak, couscous and caesar salad"
164.010803,"salmon, olive oil, squash and brown rice"
564.917969,"chicken, parmesan cheese, olives and avocado"
275.399994,"oatmeal, raspberries, brown sugar and blackberries"
165.366608,"chia seeds, greek yogurt and milk"
174.015305,"roasted potatoes, olive oil, broccoli and arugula"
87.440002,"tortilla, brussels sprouts and broccoli"
36.809998,olives and cherry tomatoes
175.162018,"pears, grapes and broccoli"
354.596863,"cheese pizza, chicken, country rice and caesar salad"
655.986816,"chicken, olive oil and olives"
252.792709,"pork, broccoli and white rice"
170.290009,"ham, fish and brussels sprouts"
497.861359,"quinoa, pork, couscous and caesar salad"
113.057968,olive oil and mixed greens
535.839905,"cheese pizza, pork, chicken breast, pineapple and squash"
196.820007,"sweet potato, bacon and berries"
389.264343,pizza
417.185303,"cheese pizza, pasta, olive oil, broccoli and pesto"
39.480003,"broccoli, squash and zucchini"
65.480003,"avocado, kale and chard"
84.002373,"olive oil, cauliflower, caesar salad, arugula and walnuts"
102.105309,"olive oil, broccoli and arugula"
39.370003,"brussels sprouts, cherry tomatoes, bell peppers, carrot and cucumbers"
495.720032,chicken apple sausage and scrambled eggs
119.099396,"olive oil, rice noodles and spinach (raw)"
281.123993,"chicken, parmesan cheese and broccoli"
159.940002,"beef, potatoes and tomatoes"
121.741409,"olive oil, chickpeas, bok choy and arugula"
346.388,"sausage, broccoli and tomatoes"
372.769989,"nuts, shrimp and broccoli"
612.990295,"tuna, salmon, olives and carrot"
566.146057,"steak, chicken thighs and broccoli"
183.389359,"quinoa, vinaigrette, cauliflower, olive oil and feta cheese"
109.209991,"berries, orange and brussels sprouts"
610.869019,"chicken, parmesan cheese, avocado and olives"
151.470001,"potato chips, corn and kiwi"
186.683746,"olive oil, bulgur, kale and parmesan cheese"
65.199997,pineapple and watermelon
786.212585,"salmon, olive oil and brown rice"
291.174988,"almonds, potatoes and white rice"
468.165009,biscuits and bacon
324.913513,steak and wheat berry
163.962006,pears and grapes
103.386002,"corn on the cob, cauliflower and cantaloupe"
